APPOINTMENTID,APPOINTMENTDATE,APPOINTMENTSTARTTIME,APPOINTMENTDURATION,PROVIDERID
291656,2025-01-28,14:15:00,10,103
291906,2025-01-28,13:30:00,10,201
291896,2025-01-26,20:30:00,10,221
291832,2025-01-26,12:20:00,20,290
292586,2025-01-29,15:00:00,20,104
292158,2025-01-31,09:45:00,10,103
292369,2025-01-31,16:15:00,10,103
292129,2025-01-30,13:40:00,20,270
291509,2025-01-31,12:45:00,10,108
291456,2025-01-31,10:30:00,10,248
291519,2025-01-31,11:45:00,10,248
291491,2025-01-31,12:00:00,10,282
291587,2025-01-31,14:45:00,10,103
291539,2025-01-31,13:00:00,10,108
291557,2025-01-31,13:45:00,10,103
291425,2025-01-31,10:00:00,10,263
291494,2025-01-31,11:30:00,10,248
291600,2025-01-31,15:00:00,10,103
291493,2025-01-31,10:30:00,10,103
291409,2025-01-31,09:30:00,10,103
291415,2025-01-31,11:00:00,10,103
291451,2025-01-31,10:45:00,10,103
291580,2025-01-31,14:30:00,10,103
291492,2025-01-31,11:45:00,10,103
291620,2025-01-31,15:15:00,10,108
291476,2025-01-31,11:15:00,10,248
291564,2025-01-31,14:00:00,10,103
291573,2025-01-31,14:15:00,10,103
291408,2025-01-31,11:20:00,20,398
291546,2025-01-31,14:00:00,10,344
291570,2025-01-31,13:15:00,10,108
291556,2025-01-31,14:15:00,10,108
291553,2025-01-31,13:30:00,10,103
291465,2025-01-31,11:00:00,10,248
290632,2025-01-22,13:00:00,10,248
290522,2025-01-22,11:15:00,10,263
290395,2025-01-22,11:20:00,10,100
289408,2025-01-18,14:18:00,10,342
289393,2025-01-18,06:05:00,10,344
289602,2025-01-22,09:15:00,10,248
289584,2025-01-22,15:10:00,20,100
289554,2025-01-22,09:40:00,20,102
289583,2025-01-22,12:10:00,20,100
289626,2025-01-23,11:30:00,10,103
290751,2025-01-28,13:30:00,10,201
289601,2025-01-23,13:45:00,10,248
289623,2025-01-20,15:45:00,10,119
289560,2025-01-21,08:30:00,10,119
290359,2025-01-22,09:00:00,10,263
290758,2025-01-22,16:30:00,10,289
290901,2025-01-26,15:20:00,20,118
290903,2025-01-26,10:20:00,20,118
290356,2025-01-22,14:00:00,10,100
289415,2025-01-24,13:15:00,10,344
290515,2025-01-22,15:00:00,20,104
290610,2025-01-27,13:45:00,10,119
290704,2025-01-27,14:20:00,60,304
289595,2025-01-27,13:15:00,10,119
289654,2025-01-27,17:00:00,20,318
290478,2025-01-27,10:00:00,20,270
289578,2025-01-27,13:50:00,20,225
289539,2025-01-27,10:30:00,10,225
290574,2025-01-22,12:20:00,10,100
290799,2025-01-22,20:15:00,10,108
290533,2025-01-22,12:20:00,20,116
290390,2025-01-22,15:00:00,20,116
290327,2025-01-22,18:00:00,30,100
290565,2025-01-22,16:20:00,20,116
290336,2025-01-22,15:20:00,20,116
290525,2025-01-22,16:20:00,20,102
290651,2025-01-24,10:00:00,10,248
291199,2025-01-23,13:20:00,20,236
291031,2025-01-23,11:30:00,10,263
291279,2025-01-23,16:15:00,10,271
291032,2025-01-24,08:00:00,20,398
